"descriptor_category_id","descriptor_type_id","type_order"
1,2,12
1,3,9
1,4,11
1,5,10
1,6,8
1,188,4
1,189,5
1,190,6
1,191,7
1,230,1
1,231,2
1,232,13
1,233,3
3,7,1
3,8,2
3,9,3
3,10,6
3,11,4
3,12,5
3,16,11
3,17,12
3,18,10
3,19,8
3,20,9
3,234,7
4,21,1
4,22,2
4,23,10
4,24,8
4,25,3
4,26,9
4,27,4
4,28,5
4,29,6
4,30,7
4,31,11
4,32,12
5,33,1
5,34,2
5,35,3
5,36,4
5,37,5
5,38,6
5,39,7
5,40,8
5,41,9
5,42,10
5,43,11
5,44,12
6,45,1
6,46,2
6,47,3
6,48,4
6,49,5
6,50,6
6,51,7
6,52,8
6,53,9
6,54,10
6,55,11
6,56,12
7,57,1
7,58,2
7,59,3
7,60,4
7,61,5
7,62,6
7,63,7
7,64,8
7,65,9
7,66,10
7,67,11
7,68,12
8,69,1
8,70,2
8,71,3
8,72,4
8,73,5
8,74,6
8,75,7
8,76,8
8,77,9
8,78,10
8,79,11
8,80,12
9,81,1
9,82,2
9,83,3
9,84,4
9,85,5
9,86,6
9,87,7
9,88,8
9,89,9
9,90,10
9,91,11
9,92,12
10,93,1
10,94,2
10,95,3
10,96,4
10,97,5
10,98,6
10,99,7
10,100,8
10,101,9
10,102,10
10,103,11
10,104,12
11,105,1
11,106,2
11,107,3
11,108,4
11,109,5
11,110,6
11,111,7
11,112,8
11,113,9
11,114,10
11,115,11
11,116,12
12,117,1
12,118,2
12,119,3
12,120,4
12,121,5
12,122,6
12,123,7
12,124,8
12,125,9
12,126,10
12,127,11
12,128,12
13,129,1
13,130,2
13,131,3
13,132,4
13,133,5
13,134,6
13,135,7
13,136,8
13,137,9
13,138,10
13,139,11
13,140,12
14,141,1
14,142,2
14,143,3
14,144,4
14,145,5
14,146,6
14,147,7
14,148,8
14,149,9
14,150,10
14,151,11
14,152,12
15,153,1
15,154,2
15,155,3
15,156,4
15,157,5
15,158,6
15,159,7
15,160,8
15,161,9
15,162,10
15,163,11
15,164,12
16,165,1
16,166,2
16,167,3
16,168,4
16,169,5
16,170,6
16,171,7
16,172,8
16,500,9
17,173,5
17,174,6
17,175,7
17,176,3
17,177,4
17,178,1
17,179,2
17,180,8
18,181,1
18,182,2
18,183,3
18,184,4
18,185,5
18,186,6
18,187,7
19,192,1
19,193,2
19,194,3
19,195,4
19,196,5
19,197,6
19,198,7
19,199,8
19,200,9
19,201,10
19,202,11
19,203,12
20,206,1
20,207,2
20,208,3
20,209,4
20,210,5
20,211,6
20,212,7
20,213,8
20,214,9
20,215,10
20,216,11
20,217,12
21,218,1
21,219,2
21,220,3
21,221,4
21,222,5
21,224,6
21,225,7
21,226,8
21,227,9
21,228,10
21,229,11
